PATTERNID,PATTERNSET,PATTERNNATURE,PATTERNNAME,PATTERNDESCRIPTION,REGEXPATTERN,PRIORITY,CATEGORY,FIX,REMEDIATION,REMEDIATIONDESCRIPTION,REMEDIATIONEFFORT,MANDAYS,SNO_PHASE_BATCH,TOTAL,APPLICATIONNAME,TRACK,PHASE,BATCH,APPLICABLE THIRD PARTY NEW JAR,JDK-COMPATIBILITYSTATUS-CONCLUDED,JDK8-COMPATIBLE,JDK21-COMPATIBLE,JDKCOMPATIBILITYRULEHINT,WLS12CCOMPATIBLE,WLS14CCOMPATIBLE,OPENREWRITE_RECEIPE,TESTCASE_UNIT_NO,TOTAL
22,Set 6,CORE (LANGUAGE - Generics),Raw List,Raw types (pre-generics),\b(List|Set|Map|Collection|ArrayList|HashMap|HashSet)\b\s+[A-Za-z_]\w*\s*=\s*(?!new\s+\1\s*<),Low,Generics,Use generics: List<String> list = new ArrayList<>();,Semi-Auto,Introduce generics / use diamond operator; compile & fix warnings.,Low,0.4,13,25025,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 4,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-Language,(blank),(blank),P011,UT011,25025
23,Set 6,CORE (LANGUAGE - Naming),Underscore,Underscore as identifier (REMOVED in JDK 9+),\b_\b(?=\s*(=|;|\))),Low,Language Changes,Rename variable,Auto-Replace,Rename `_` identifier to a valid name.,Low,0.1,2,1,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 1,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-Language,(blank),(blank),P012,UT012,1
24,Set 6,CORE (LANGUAGE - Generics),DiamondOperator,Diamond operator missing,new\s+(ArrayList|HashMap|HashSet|LinkedList)<[^>]+>\s*\(\s*\)(?!\s*;),Low,Generics,Add diamond operator: List<String> list = new ArrayList<>();,Semi-Auto,Introduce generics / use diamond operator; compile & fix warnings.,Low,0.4,12,7,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 4,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-Language,(blank),(blank),P013,UT013,7
26,Set 7,CORE (SECURITY - Deprecated),SecurityManager,Security Manager (DEPRECATED JDK 17  removed JDK 21),System\.(get|set)SecurityManager|new\s+SecurityManager,Critical,Security,Remove SecurityManager; use modern security frameworks,Manual-API-Change,Remove SecurityManager usages; rely on modern security boundaries.,High,3,84,1,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 1,(blank),NOT-SAFE works ONLY JDK21 (change to new API and/or new JAR in src),NOT-SAFE,to verify runtime - New API ?,Dual-RemovedFeature,(blank),(blank),P014,UT014,1
30,Set 8,CORE (LANGUAGE - Reflection),ReflectionPrivate,Reflection on private fields (will fail with modules),\.setAccessible\s*\(\s*true\s*\),High,Reflection,Use MethodHandles,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Medium,1.5,17,9,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 5,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-ResourceMgmt,(blank),(blank),P015,UT015,9
52,Set 4,JSP (CODE - Usage),Scriptlets used,Scriptlets (<% %>) increase risk during migration; prefer taglibs/EL.,<%[=!]?[\s\S]*?%>,Low,Code Quality,Refactor scriptlets to JSTL/EL or migrate to Thymeleaf.,Manual-API-Change,Refactor scriptlets to taglibs/EL or migrate views (e.g. Thymeleaf).,Medium,1.5,85,94847,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 1,(blank),NOT-SAFE works ONLY JDK21 (change to new API and/or new JAR in src),NOT-SAFE,to verify runtime - New API ?,Dual-NeedsMigration,(blank),(blank),P016,UT016,94847
58,Set 2,JSP (CODE - Usage),JSP internal/sun.* usage,sun.* usage inside JSP should be removed,\bsun\.,High,Internal APIs,Use supported JDK APIs (e.g. java.util.Base64).,Auto-Refactor,Replace internal classes with supported JDK APIs.,Low,0.25,1,247,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 1,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-InternalAPI,(blank),(blank),P017,UT017,247
114,Set 8,SPRINGBOOT (JAVA-API - Reflection Restriction),setAccessible(true),Strong encapsulation breaks deep reflection,\.setAccessible\s*\(\s*true\s*\),High,Modules/Encapsulation,Use public APIs / MethodHandles / --add-opens (last resort).,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Medium,1.5,21,9,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 5,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-ResourceMgmt,(blank),(blank),P018,UT018,9
115,Set 11,SPRINGBOOT (LOGGING - Legacy),Log4j 1.x usage,Log4j 1.x is EOL / incompatible.,\borg\.apache\.log4j\.,High,Logging,Use SLF4J + Logback or Log4j2.,Manual-Remove/Replace,Migrate Log4j 1.x to SLF4J + Logback or Log4j2.,Medium,2,87,26,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 2,(blank),NOT-SAFE works ONLY JDK21 (change to new API and/or new JAR in src),NOT-SAFE,to verify runtime - New API ?,Dual-NeedsMigration,(blank),(blank),P019,UT019,26
120,Set 1,SPRINGBOOT (JAVA-API - Moved/Removed),JAXB javax.xml.bind,JAXB removed from JDK 11+.,\bjavax\.xml\.bind\.,High,Removed APIs,Dual-runtime: KEEP javax.xml.bind.* and add external JAXB (javax.*) dependencies (jaxb-api 2.3.x + jaxb-runtime 2.3.x) for JDK 11+.,Dependency-Add,Externalize JAXB to javax.* artifacts; no package rename; run tests on JDK 8 and JDK 21.,Medium,0.5,24,179,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 6,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-JavaEE-Externalize,(blank),(blank),P020,UT020,179
131,Set 1,SPRINGBOOT (JAVA-API - Removed),CORBA packages,CORBA removed.,\b(javax\.rmi\.CORBA|org\.omg\.CORBA)\b,Medium,Removed APIs,Remove CORBA.,Manual-Remove/Replace,Remove legacy tech; redesign to HTTP/REST or RMI.,High,4,9,1,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 3,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-SecurityUpdate,(blank),(blank),P021,UT021,1
134,Set 1,SPRINGBOOT (JAVA-API - Moved/Removed),JAXB annotations in models,Move javax.xml.bind.annotation.* to Jakarta.,\bjavax\.xml\.bind\.annotation\.,High,Removed APIs,Dual-runtime: KEEP javax.xml.bind.* and add external JAXB (javax.*) dependencies (jaxb-api 2.3.x + jaxb-runtime 2.3.x) for JDK 11+.,Dependency-Add,Externalize JAXB to javax.* artifacts; no package rename; run tests on JDK 8 and JDK 21.,Medium,0.5,23,160,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 6,(blank),SAFE works BOTH JDK (replace depreciated APIs),to verify runtime - New  API ?,to verify runtime - New  API ?,Dual-Safe-JavaEE-Externalize,(blank),(blank),P022,UT022,160
200,Set 3 - Third Party,THIRD-PARTY (SSO jar),aacm.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.bouncycastle|com\.tivoli|com\.tivoli\.pd|org\.apache\.axis|org\.bouncycastle\.jce|org\.bouncycastle\.asn1|org\.bouncycastle\.jce\.provider|org\.apache\.commons|com\.client|org\.bouncycastle\.crypto)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.bouncycastle|com\.tivoli|com\.tivoli\.pd|org\.apache\.axis|org\.bouncycastle\.jce|org\.bouncycastle\.asn1|org\.bouncycastle\.jce\.provider|org\.apache\.commons|com\.client|org\.bouncycastle\.crypto)\.)|(?:\b(?:org\.bouncycastle|com\.tivoli|com\.tivoli\.pd|org\.apache\.axis|org\.bouncycastle\.jce|org\.bouncycastle\.asn1|org\.bouncycastle\.jce\.provider|org\.apache\.commons|com\.client|org\.bouncycastle\.crypto)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,96,2513,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 5,(blank),GE INTERNAL JAR (to discuss with ge team to provide new JAR works on both JDK or only JDK21),to verify runtime - New JAR & API ?,to verify runtime - ExitingAPI / NewAPI ?,Dual-Review,(blank),(blank),P023,UT023,2513
202,Set 3 - Third Party,THIRD-PARTY (CONCURRENCY jar),backport-util-concurrent.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:edu\.emory\.mathcs\.backport\.java)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:edu\.emory\.mathcs\.backport\.java)\.)|(?:\b(?:edu\.emory\.mathcs\.backport\.java)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,81,2,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Review,(blank),(blank),P024,UT024,2
204,Set 3 - Third Party,THIRD-PARTY (SECURITY jar),bcpkix-jdk18on-1.76.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.bouncycastle|org\.bouncycastle\.cms|org\.bouncycastle\.cert|org\.bouncycastle\.operator|org\.bouncycastle\.cms\.jcajce|org\.bouncycastle\.operator\.bc|org\.bouncycastle\.its|org\.bouncycastle\.tsp|org\.bouncycastle\.openssl|org\.bouncycastle\.est)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.bouncycastle|org\.bouncycastle\.cms|org\.bouncycastle\.cert|org\.bouncycastle\.operator|org\.bouncycastle\.cms\.jcajce|org\.bouncycastle\.operator\.bc|org\.bouncycastle\.its|org\.bouncycastle\.tsp|org\.bouncycastle\.openssl|org\.bouncycastle\.est)\.)|(?:\b(?:org\.bouncycastle|org\.bouncycastle\.cms|org\.bouncycastle\.cert|org\.bouncycastle\.operator|org\.bouncycastle\.cms\.jcajce|org\.bouncycastle\.operator\.bc|org\.bouncycastle\.its|org\.bouncycastle\.tsp|org\.bouncycastle\.openssl|org\.bouncycastle\.est)\.[A-Za-z_$][\w$]*\b)",Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1,42,1,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Crypto,(blank),(blank),P025,UT025,1
205,Set 3 - Third Party,THIRD-PARTY (SECURITY jar),bcprov-jdk14-143.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.bouncycastle|org\.bouncycastle\.jce|org\.bouncycastle\.asn1|org\.bouncycastle\.jce\.provider|org\.bouncycastle\.crypto|org\.bouncycastle\.asn1\.x509|org\.bouncycastle\.jce\.provider\.symmetric|org\.bouncycastle\.crypto\.params|org\.bouncycastle\.crypto\.engines|org\.bouncycastle\.jce\.provider\.asymmetric)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.bouncycastle|org\.bouncycastle\.jce|org\.bouncycastle\.asn1|org\.bouncycastle\.jce\.provider|org\.bouncycastle\.crypto|org\.bouncycastle\.asn1\.x509|org\.bouncycastle\.jce\.provider\.symmetric|org\.bouncycastle\.crypto\.params|org\.bouncycastle\.crypto\.engines|org\.bouncycastle\.jce\.provider\.asymmetric)\.)|(?:\b(?:org\.bouncycastle|org\.bouncycastle\.jce|org\.bouncycastle\.asn1|org\.bouncycastle\.jce\.provider|org\.bouncycastle\.crypto|org\.bouncycastle\.asn1\.x509|org\.bouncycastle\.jce\.provider\.symmetric|org\.bouncycastle\.crypto\.params|org\.bouncycastle\.crypto\.engines|org\.bouncycastle\.jce\.provider\.asymmetric)\.[A-Za-z_$][\w$]*\b)",Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1,43,1,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Crypto,(blank),(blank),P026,UT026,1
207,Set 3 - Third Party,THIRD-PARTY (XML-DATA jar),castor-0.9.9.1.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.exolab|org\.exolab\.castor|org\.exolab\.castor\.jdo|org\.exolab\.castor\.xml|org\.exolab\.castor\.mapping|org\.exolab\.castor\.builder|org\.exolab\.castor\.mapping\.xml|org\.exolab\.castor\.jdo\.engine|org\.exolab\.castor\.xml\.schema|org\.exolab\.castor\.builder\.binding)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.exolab|org\.exolab\.castor|org\.exolab\.castor\.jdo|org\.exolab\.castor\.xml|org\.exolab\.castor\.mapping|org\.exolab\.castor\.builder|org\.exolab\.castor\.mapping\.xml|org\.exolab\.castor\.jdo\.engine|org\.exolab\.castor\.xml\.schema|org\.exolab\.castor\.builder\.binding)\.)|(?:\b(?:org\.exolab|org\.exolab\.castor|org\.exolab\.castor\.jdo|org\.exolab\.castor\.xml|org\.exolab\.castor\.mapping|org\.exolab\.castor\.builder|org\.exolab\.castor\.mapping\.xml|org\.exolab\.castor\.jdo\.engine|org\.exolab\.castor\.xml\.schema|org\.exolab\.castor\.builder\.binding)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,113,5,1-fpms,b. NEW JDK TRACK,PHASE 2,BATCH 5,jackson-dataformat-xml-2.17.0.jar,SAFE works BOTH JDK (able to Compile - to verify New JAR & API ?),to verify runtime - New JAR & API ?,to verify runtime - New JAR & API ?,Dual-Review,(blank),(blank),P027,UT027,5
208,Set 3 - Third Party,THIRD-PARTY (CGLIB jar),cglib-full-2.0.2.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:net\.sf\.cglib|net\.sf\.cglib\.core|net\.sf\.cglib\.transform|net\.sf\.cglib\.proxy|net\.sf\.cglib\.transform\.impl|net\.sf\.cglib\.reflect|net\.sf\.cglib\.beans|net\.sf\.cglib\.util|org\.objectweb\.asm|net\.sf\.cglib\.transform\.hook)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:net\.sf\.cglib|net\.sf\.cglib\.core|net\.sf\.cglib\.transform|net\.sf\.cglib\.proxy|net\.sf\.cglib\.transform\.impl|net\.sf\.cglib\.reflect|net\.sf\.cglib\.beans|net\.sf\.cglib\.util|org\.objectweb\.asm|net\.sf\.cglib\.transform\.hook)\.)|(?:\b(?:net\.sf\.cglib|net\.sf\.cglib\.core|net\.sf\.cglib\.transform|net\.sf\.cglib\.proxy|net\.sf\.cglib\.transform\.impl|net\.sf\.cglib\.reflect|net\.sf\.cglib\.beans|net\.sf\.cglib\.util|org\.objectweb\.asm|net\.sf\.cglib\.transform\.hook)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,74,7,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Review,(blank),(blank),P028,UT028,7
209,Set 3 - Third Party,THIRD-PARTY (DB jar),classes12.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:oracle\.jdbc|oracle\.jdbc\.driver|oracle\.net|oracle\.sql|oracle\.net\.nl|oracle\.jdbc\.oracore|oracle\.net\.nl\.mesg|oracle\.jdbc\.pool|oracle\.jdbc\.rowset|oracle\.net\.ns)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:oracle\.jdbc|oracle\.jdbc\.driver|oracle\.net|oracle\.sql|oracle\.net\.nl|oracle\.jdbc\.oracore|oracle\.net\.nl\.mesg|oracle\.jdbc\.pool|oracle\.jdbc\.rowset|oracle\.net\.ns)\.)|(?:\b(?:oracle\.jdbc|oracle\.jdbc\.driver|oracle\.net|oracle\.sql|oracle\.net\.nl|oracle\.jdbc\.oracore|oracle\.net\.nl\.mesg|oracle\.jdbc\.pool|oracle\.jdbc\.rowset|oracle\.net\.ns)\.[A-Za-z_$][\w$]*\b)",High,Driver Upgrade,Dual-runtime: replace old Oracle JDBC jars with ojdbc8 (Java 8 baseline) and validate on JDK 21; avoid ojdbc11 if JDK 8 runtime must remain supported.,Upgrade,Replace driver jar; validate TLS/timezone/NLS on both runtimes.,Medium,1,48,33,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-JDBC-Upgrade,(blank),(blank),P029,UT029,33
210,Set 3 - Third Party,THIRD-PARTY (IBM jar),com.ibm.mq.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:com\.ibm|com\.ibm\.mq|com\.ibm\.mq\.server|com\.ibm\.mq\.mqjd|com\.ibm\.mqservices|com\.ibm\.mq\.MQConnectionRequestInfo\$DefaultKeyObject|com\.ibm\.mq\.MQBindingsManagedConnectionFactoryJ11|com\.ibm\.mq\.MQSimpleConnectionManager\$PSAdapter|com\.ibm\.mq\.MQClientManagedConnectionFactoryJ11|com\.ibm\.mq\.MQBindingsManagedConnectionFactory)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:com\.ibm|com\.ibm\.mq|com\.ibm\.mq\.server|com\.ibm\.mq\.mqjd|com\.ibm\.mqservices|com\.ibm\.mq\.MQConnectionRequestInfo\$DefaultKeyObject|com\.ibm\.mq\.MQBindingsManagedConnectionFactoryJ11|com\.ibm\.mq\.MQSimpleConnectionManager\$PSAdapter|com\.ibm\.mq\.MQClientManagedConnectionFactoryJ11|com\.ibm\.mq\.MQBindingsManagedConnectionFactory)\.)|(?:\b(?:com\.ibm|com\.ibm\.mq|com\.ibm\.mq\.server|com\.ibm\.mq\.mqjd|com\.ibm\.mqservices|com\.ibm\.mq\.MQConnectionRequestInfo\$DefaultKeyObject|com\.ibm\.mq\.MQBindingsManagedConnectionFactoryJ11|com\.ibm\.mq\.MQSimpleConnectionManager\$PSAdapter|com\.ibm\.mq\.MQClientManagedConnectionFactoryJ11|com\.ibm\.mq\.MQBindingsManagedConnectionFactory)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,76,39,1-fpms,a. UAT TRACK (BAU),PHASE 1,BATCH 9,(blank),SAFE works BOTH JDK (able to Compile - to verify New/Existing JAR & New/Existing API ?),to verify runtime - New/Existing JAR & New/Existing API ?,to verify runtime - New/Existing JAR & New/Existing API ?,Dual-Review,(blank),(blank),P030,UT030,39
