PatternID,PatternSet,PatternNature,PatternName,PatternDescription,RegexPattern,Priority,Category,Fix,Remediation,RemediationDescription,RemediationEffort,Mandays,JDK8Compatible,JDK21Compatible,CompatibilityStatus,PlanFirstChange,ScriptableBySearchReplace,CompatibilityRuleHint
52,Set 4,JSP (CODE - Usage),Scriptlets used,Scriptlets (<% %>) increase risk during migration; prefer taglibs/EL.,<%[=!]?[\s\S]*?%>,Low,Code Quality,Refactor scriptlets to JSTL/EL or migrate to Thymeleaf.,Manual-API-Change,Refactor scriptlets to taglibs/EL or migrate views (e.g. Thymeleaf).,Medium,1.5,Yes,No,Requires Migration,No,No,Dual-NeedsMigration
58,Set 2,JSP (CODE - Usage),JSP internal/sun.* usage,sun.* usage inside JSP should be removed,\bsun\.,High,Internal APIs,Use supported JDK APIs (e.g. java.util.Base64).,Auto-Refactor,Replace internal classes with supported JDK APIs.,Low,0.25,Yes,Yes,Safe,Yes,Yes,Dual-Safe-InternalAPI
113,Set 1,SPRINGBOOT (JAVA-API - Removed),Nashorn removed,Nashorn engine removed after JDK 15.,jdk\.nashorn|NashornScriptEngineFactory,High,Removed in JDK,Migrate to GraalVM JavaScript.,Manual-API-Change,Move to GraalJS or other JS engine; change engine wiring.,High,3,Yes,No,Requires Migration,No,No,Dual-RemovedFeature
114,Set 8,SPRINGBOOT (JAVA-API - Reflection Restriction),setAccessible(true),Strong encapsulation breaks deep reflection,\.setAccessible\s*\(\s*true\s*\),High,Modules/Encapsulation,Use public APIs / MethodHandles / --add-opens (last resort).,Manual-API-Change,Refactor to supported APIs (try-with-resources/concurrency/public access).,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-ResourceMgmt
115,Set 11,SPRINGBOOT (LOGGING - Legacy),Log4j 1.x usage,Log4j 1.x is EOL / incompatible.,\borg\.apache\.log4j\.,High,Logging,Use SLF4J + Logback or Log4j2.,Manual-Remove/Replace,Migrate Log4j 1.x to SLF4J + Logback or Log4j2.,Medium,2,Yes,No,Requires Migration,No,No,Dual-NeedsMigration
116,Set 3,SPRINGBOOT (SECURITY - Deprecated/Removed),Old TLS/SSL constants,SSLv3/TLSv1.0/1.1 insecure / disabled.,\b(SSLv2|SSLv3|TLSv1(\.0)?|TLSv1\.1)\b,High,Security,Use TLSv1.2+ (prefer TLSv1.3).,Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Low,0.75,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
117,Set 3,SPRINGBOOT (SECURITY - Vulnerability),Weak hashes,MD5/SHA-1 usage is weak.,"MessageDigest\s*\.\s*getInstance\s*\(\s*\""(MD5|SHA-1)\""\s*\)",High,Security,Use SHA-256 or better.,Manual-API-Change,Adopt modern algorithms/protocols and update configs.,Medium,1.5,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
120,Set 1,SPRINGBOOT (JAVA-API - Moved/Removed),JAXB javax.xml.bind,JAXB removed from JDK 11+.,\bjavax\.xml\.bind\.,High,Removed APIs,Dual-runtime: KEEP javax.xml.bind.* and add external JAXB (javax.*) dependencies (jaxb-api 2.3.x + jaxb-runtime 2.3.x) for JDK 11+.,Dependency-Add,Externalize JAXB to javax.* artifacts; no package rename; run tests on JDK 8 and JDK 21.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaEE-Externalize
121,Set 1,SPRINGBOOT (JAVA-API - Moved/Removed),JAX-WS javax.xml.ws,JAX-WS removed from JDK 11+.,\bjavax\.xml\.ws\.,High,Removed APIs,Dual-runtime: KEEP javax.xml.ws/javax.jws.* and add a javax.* JAX-WS implementation (Metro 2.3.x) for JDK 11+.,Dependency-Add,Externalize JAX-WS to javax.* artifacts; no package rename; run tests on JDK 8 and JDK 21.,High,3,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaEE-Externalize
130,Set 2,SPRINGBOOT (JAVA-API - Internal/Removed),sun.misc BASE64,Replace with java.util.Base64.,\bsun\.misc\.(BASE64Encoder|BASE64Decoder)\b,High,Internal APIs,Use java.util.Base64.,Auto-Refactor,Mechanical code refactor to modern API (update imports/calls).,Low,0.25,Yes,Yes,Safe,Yes,Yes,Dual-Safe-InternalAPI
131,Set 1,SPRINGBOOT (JAVA-API - Removed),CORBA packages,CORBA removed.,\b(javax\.rmi\.CORBA|org\.omg\.CORBA)\b,Medium,Removed APIs,Remove CORBA.,Manual-Remove/Replace,Remove legacy tech; redesign to HTTP/REST or RMI.,High,4,Yes,Yes,Safe,Yes,No,Dual-Safe-SecurityUpdate
134,Set 1,SPRINGBOOT (JAVA-API - Moved/Removed),JAXB annotations in models,Move javax.xml.bind.annotation.* to Jakarta.,\bjavax\.xml\.bind\.annotation\.,High,Removed APIs,Dual-runtime: KEEP javax.xml.bind.* and add external JAXB (javax.*) dependencies (jaxb-api 2.3.x + jaxb-runtime 2.3.x) for JDK 11+.,Dependency-Add,Externalize JAXB to javax.* artifacts; no package rename; run tests on JDK 8 and JDK 21.,Medium,0.5,Yes,Yes,Safe,Yes,No,Dual-Safe-JavaEE-Externalize
200,Set 3 - Third Party,THIRD-PARTY (SSO jar),aacm.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.bouncycastle|com\.tivoli|com\.tivoli\.pd|org\.apache\.axis|org\.bouncycastle\.jce|org\.bouncycastle\.asn1|org\.bouncycastle\.jce\.provider|org\.apache\.commons|com\.client|org\.bouncycastle\.crypto)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.bouncycastle|com\.tivoli|com\.tivoli\.pd|org\.apache\.axis|org\.bouncycastle\.jce|org\.bouncycastle\.asn1|org\.bouncycastle\.jce\.provider|org\.apache\.commons|com\.client|org\.bouncycastle\.crypto)\.)|(?:\b(?:org\.bouncycastle|com\.tivoli|com\.tivoli\.pd|org\.apache\.axis|org\.bouncycastle\.jce|org\.bouncycastle\.asn1|org\.bouncycastle\.jce\.provider|org\.apache\.commons|com\.client|org\.bouncycastle\.crypto)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
201,Set 3 - Third Party,THIRD-PARTY (FRAMEWORK jar),avalon-framework-cvs-20020806.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.avalon\.framework|org\.apache\.avalon\.framework\.logger|org\.apache\.avalon\.framework\.configuration|org\.apache\.avalon\.framework\.component|org\.apache\.avalon\.framework\.context|org\.apache\.avalon\.framework\.service|org\.apache\.avalon\.framework\.activity|org\.apache\.avalon\.framework\.parameters|org\.apache\.avalon\.framework\.thread|org\.apache\.avalon\.framework\.CascadingRuntimeException)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.avalon\.framework|org\.apache\.avalon\.framework\.logger|org\.apache\.avalon\.framework\.configuration|org\.apache\.avalon\.framework\.component|org\.apache\.avalon\.framework\.context|org\.apache\.avalon\.framework\.service|org\.apache\.avalon\.framework\.activity|org\.apache\.avalon\.framework\.parameters|org\.apache\.avalon\.framework\.thread|org\.apache\.avalon\.framework\.CascadingRuntimeException)\.)|(?:\b(?:org\.apache\.avalon\.framework|org\.apache\.avalon\.framework\.logger|org\.apache\.avalon\.framework\.configuration|org\.apache\.avalon\.framework\.component|org\.apache\.avalon\.framework\.context|org\.apache\.avalon\.framework\.service|org\.apache\.avalon\.framework\.activity|org\.apache\.avalon\.framework\.parameters|org\.apache\.avalon\.framework\.thread|org\.apache\.avalon\.framework\.CascadingRuntimeException)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
202,Set 3 - Third Party,THIRD-PARTY (CONCURRENCY jar),backport-util-concurrent.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:edu\.emory\.mathcs\.backport\.java)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:edu\.emory\.mathcs\.backport\.java)\.)|(?:\b(?:edu\.emory\.mathcs\.backport\.java)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
203,Set 3 - Third Party,THIRD-PARTY (XML-GRAPHICS jar),batik.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.apache\.batik|org\.apache\.batik\.dom|org\.apache\.batik\.ext|org\.apache\.batik\.ext\.awt|org\.apache\.batik\.dom\.svg|org\.apache\.batik\.css|org\.apache\.batik\.bridge|org\.apache\.batik\.swing|org\.apache\.batik\.css\.engine|org\.apache\.batik\.gvt)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.apache\.batik|org\.apache\.batik\.dom|org\.apache\.batik\.ext|org\.apache\.batik\.ext\.awt|org\.apache\.batik\.dom\.svg|org\.apache\.batik\.css|org\.apache\.batik\.bridge|org\.apache\.batik\.swing|org\.apache\.batik\.css\.engine|org\.apache\.batik\.gvt)\.)|(?:\b(?:org\.apache\.batik|org\.apache\.batik\.dom|org\.apache\.batik\.ext|org\.apache\.batik\.ext\.awt|org\.apache\.batik\.dom\.svg|org\.apache\.batik\.css|org\.apache\.batik\.bridge|org\.apache\.batik\.swing|org\.apache\.batik\.css\.engine|org\.apache\.batik\.gvt)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review;POM
204,Set 3 - Third Party,THIRD-PARTY (SECURITY jar),bcpkix-jdk18on-1.76.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.bouncycastle|org\.bouncycastle\.cms|org\.bouncycastle\.cert|org\.bouncycastle\.operator|org\.bouncycastle\.cms\.jcajce|org\.bouncycastle\.operator\.bc|org\.bouncycastle\.its|org\.bouncycastle\.tsp|org\.bouncycastle\.openssl|org\.bouncycastle\.est)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.bouncycastle|org\.bouncycastle\.cms|org\.bouncycastle\.cert|org\.bouncycastle\.operator|org\.bouncycastle\.cms\.jcajce|org\.bouncycastle\.operator\.bc|org\.bouncycastle\.its|org\.bouncycastle\.tsp|org\.bouncycastle\.openssl|org\.bouncycastle\.est)\.)|(?:\b(?:org\.bouncycastle|org\.bouncycastle\.cms|org\.bouncycastle\.cert|org\.bouncycastle\.operator|org\.bouncycastle\.cms\.jcajce|org\.bouncycastle\.operator\.bc|org\.bouncycastle\.its|org\.bouncycastle\.tsp|org\.bouncycastle\.openssl|org\.bouncycastle\.est)\.[A-Za-z_$][\w$]*\b)",Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1,Yes,Yes,Safe,Yes,No,Dual-Crypto
205,Set 3 - Third Party,THIRD-PARTY (SECURITY jar),bcprov-jdk14-143.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.bouncycastle|org\.bouncycastle\.jce|org\.bouncycastle\.asn1|org\.bouncycastle\.jce\.provider|org\.bouncycastle\.crypto|org\.bouncycastle\.asn1\.x509|org\.bouncycastle\.jce\.provider\.symmetric|org\.bouncycastle\.crypto\.params|org\.bouncycastle\.crypto\.engines|org\.bouncycastle\.jce\.provider\.asymmetric)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.bouncycastle|org\.bouncycastle\.jce|org\.bouncycastle\.asn1|org\.bouncycastle\.jce\.provider|org\.bouncycastle\.crypto|org\.bouncycastle\.asn1\.x509|org\.bouncycastle\.jce\.provider\.symmetric|org\.bouncycastle\.crypto\.params|org\.bouncycastle\.crypto\.engines|org\.bouncycastle\.jce\.provider\.asymmetric)\.)|(?:\b(?:org\.bouncycastle|org\.bouncycastle\.jce|org\.bouncycastle\.asn1|org\.bouncycastle\.jce\.provider|org\.bouncycastle\.crypto|org\.bouncycastle\.asn1\.x509|org\.bouncycastle\.jce\.provider\.symmetric|org\.bouncycastle\.crypto\.params|org\.bouncycastle\.crypto\.engines|org\.bouncycastle\.jce\.provider\.asymmetric)\.[A-Za-z_$][\w$]*\b)",Medium,Crypto Providers,Dual-runtime: upgrade crypto providers to Java-8-baseline releases and validate provider configuration on JDK 8 and JDK 21.,Upgrade,Upgrade provider jars; validate provider order/FIPS/TLS.,Medium,1,Yes,Yes,Safe,Yes,No,Dual-Crypto
206,Set 3 - Third Party,THIRD-PARTY (SCRIPTING jar),bsh-2.0b2.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:bsh\.util|bsh\.classpath|bsh\.org\.objectweb\.asm|bsh\.collection|bsh\.servlet|bsh\.classpath\.DiscreteFilesClassLoader\$ClassSourceMap|bsh\.classpath\.BshClassPath\$GeneratedClassSource|bsh\.classpath\.BshClassPath\$UnqualifiedNameTable|bsh\.util\.JConsole\$BlockingPipedInputStream|bsh\.classpath\.BshClassPath\$MappingFeedback)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:bsh\.util|bsh\.classpath|bsh\.org\.objectweb\.asm|bsh\.collection|bsh\.servlet|bsh\.classpath\.DiscreteFilesClassLoader\$ClassSourceMap|bsh\.classpath\.BshClassPath\$GeneratedClassSource|bsh\.classpath\.BshClassPath\$UnqualifiedNameTable|bsh\.util\.JConsole\$BlockingPipedInputStream|bsh\.classpath\.BshClassPath\$MappingFeedback)\.)|(?:\b(?:bsh\.util|bsh\.classpath|bsh\.org\.objectweb\.asm|bsh\.collection|bsh\.servlet|bsh\.classpath\.DiscreteFilesClassLoader\$ClassSourceMap|bsh\.classpath\.BshClassPath\$GeneratedClassSource|bsh\.classpath\.BshClassPath\$UnqualifiedNameTable|bsh\.util\.JConsole\$BlockingPipedInputStream|bsh\.classpath\.BshClassPath\$MappingFeedback)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
207,Set 3 - Third Party,THIRD-PARTY (XML-DATA jar),castor-0.9.9.1.jar,Third-party library present in application lib folder (exploded project).,"(?ms)(?:^\s*import\s+(?:static\s+)?(?:org\.exolab|org\.exolab\.castor|org\.exolab\.castor\.jdo|org\.exolab\.castor\.xml|org\.exolab\.castor\.mapping|org\.exolab\.castor\.builder|org\.exolab\.castor\.mapping\.xml|org\.exolab\.castor\.jdo\.engine|org\.exolab\.castor\.xml\.schema|org\.exolab\.castor\.builder\.binding)(?:\.[\w$]+|\.\*)\s*;)|(?:<%@\s*page\b[^%]*\bimport\s*=\s*\""[^\""]*\b(?:org\.exolab|org\.exolab\.castor|org\.exolab\.castor\.jdo|org\.exolab\.castor\.xml|org\.exolab\.castor\.mapping|org\.exolab\.castor\.builder|org\.exolab\.castor\.mapping\.xml|org\.exolab\.castor\.jdo\.engine|org\.exolab\.castor\.xml\.schema|org\.exolab\.castor\.builder\.binding)\.)|(?:\b(?:org\.exolab|org\.exolab\.castor|org\.exolab\.castor\.jdo|org\.exolab\.castor\.xml|org\.exolab\.castor\.mapping|org\.exolab\.castor\.builder|org\.exolab\.castor\.mapping\.xml|org\.exolab\.castor\.jdo\.engine|org\.exolab\.castor\.xml\.schema|org\.exolab\.castor\.builder\.binding)\.[A-Za-z_$][\w$]*\b)",Medium,Third-Party Dependencies,Dual-runtime: manage this dependency in Maven/Gradle and upgrade to a maintained Java-8-baseline release; validate on JDK 8 and JDK 21.,Upgrade/Replace,Replace exploded lib with build-managed dependency; choose a release that supports Java 8 and test on JDK 21.,Medium,0.5,Yes,Unknown,Review,Yes,No,Dual-Review
